ASGS Code,Statistical Area Level 2 (SA2),2006 no.,2007 no., 2008 no.,2009 no.,2010 no.,2011 no.,2012 no.,2013 no.,2014 no.,2015 no.,2016 no.,,2006-2016 %,2006-2016 no.,,Area (km2),persons/km2
1001,Aranda,2522,2549,2551,2553,2562,2554,2532,2498,2477,2460,2447,,-3,-75,,1.6,1565.5
1002,Belconnen,3163,3379,3538,3809,4367,4667,5275,5979,6332,6529,6743,,113.2,3580,,4.4,1523.5
1003,Bruce,3576,4465,5399,5925,6441,6751,6869,6941,7010,7071,7147,,99.9,3571,,5.8,1232.8
1004,Charnwood,3138,3150,3151,3157,3168,3157,3138,3106,3074,3039,3004,,-4.3,-134,,1.9,1618.6
1005,Cook,2917,2949,2972,2985,3007,3027,3008,2984,2949,2919,2902,,-0.5,-15,,1.6,1833.1
1006,Dunlop,5971,6518,6650,6875,7110,7268,7279,7278,7273,7258,7253,,21.5,1282,,3.6,2019.9
1007,Evatt,5649,5715,5704,5719,5691,5584,5555,5472,5379,5354,5366,,-5,-283,,3.1,1753.4
1008,Florey,5312,5332,5351,5351,5316,5241,5197,5147,5065,4971,4893,,-7.9,-419,,2.8,1775.8
1009,Flynn (ACT),3654,3641,3630,3639,3646,3634,3620,3586,3531,3467,3413,,-6.6,-241,,2.1,1628.7
1010,Fraser,2227,2214,2190,2182,2187,2186,2172,2151,2118,2074,2028,,-8.9,-199,,2.5,819.4
1011,Giralang,3436,3460,3475,3486,3488,3406,3396,3371,3351,3348,3354,,-2.4,-82,,2.4,1370.8
1012,Gooromon,0,0,0,0,0,4,5,5,6,6,7,,0,7,,9.9,0.7
1013,Hawker,2936,2927,2921,2927,2951,2963,2967,2961,2952,2953,2960,,0.8,24,,2,1513.1
1014,Higgins,3121,3161,3168,3188,3204,3178,3168,3148,3128,3107,3090,,-1,-31,,1.7,1845.5
1015,Holt,4835,4879,4881,4901,4948,4951,4903,4819,4734,4645,4612,,-4.6,-223,,3.3,1399.4
1016,Kaleen,7919,7935,7838,7817,7755,7648,7592,7513,7448,7399,7369,,-6.9,-550,,6,1222.7
1017,Latham,3805,3794,3773,3753,3734,3697,3697,3663,3656,3634,3649,,-4.1,-156,,2.7,1336
1018,Lawson,0,0,0,0,0,0,0,0,0,0,146,,0,146,,3.1,47.3
1019,Macgregor (ACT),3574,3798,4048,4500,5344,5641,5999,6333,6530,6701,6875,,92.4,3301,,4.3,1608.2
1020,Macquarie,2462,2501,2530,2588,2628,2651,2668,2740,2753,2755,2763,,12.2,301,,1.7,1624.9
1021,McKellar,2742,2880,2914,2963,2967,2934,2922,2890,2853,2818,2810,,2.5,68,,1.4,1987.3
1022,Melba,3376,3356,3341,3333,3331,3318,3299,3264,3221,3182,3154,,-6.6,-222,,2.3,1367
1023,Page,2770,2803,2822,2862,2920,2972,2983,2995,3010,3040,3084,,11.3,314,,1.3,2331.9
1024,Scullin,2873,2868,2869,2875,2888,2900,2921,2930,2941,2943,2953,,2.8,80,,1.4,2070.8
1025,Spence,2673,2685,2676,2683,2675,2646,2643,2628,2605,2590,2601,,-2.7,-72,,1.5,1708.5
1026,Weetangera,2640,2672,2672,2686,2695,2671,2647,2685,2668,2649,2636,,-0.2,-4,,1.6,1665
