Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
0,"105,254","78,645","61,865","18,925","33,875","5,514","3,798","5,652","313,569"
1,"98,027","78,988","61,897","19,447","34,643","5,707","3,722","5,620","308,080"
2,"102,609","84,523","64,211","20,973","35,618","6,190","3,890","5,776","323,844"
3,"100,561","82,670","64,475","20,416","34,680","6,062","3,654","5,837","318,404"
4,"100,753","81,782","65,346","20,663","34,360","6,124","3,607","5,620","318,319"
5,"102,524","83,418","66,442","21,024","34,751","6,196","3,672","5,781","323,859"
6,"102,069","81,350","66,496","21,262","34,174","6,212","3,795","5,697","321,117"
7,"101,628","80,163","67,173","20,869","34,723","6,465","3,669","5,514","320,261"
8,"101,793","80,578","68,201","21,135","34,343","6,438","3,643","5,549","321,743"
9,"100,234","78,843","67,979","20,971","33,830","6,708","3,562","5,249","317,430"
10,"100,463","78,447","68,091","21,025","34,275","6,694","3,580","5,084","317,717"
11,"99,255","77,889","67,483","20,859","33,868","6,642","3,381","4,944","314,379"
12,"95,213","75,096","65,665","20,098","32,582","6,481","3,358","4,897","303,451"
13,"92,316","71,951","63,022","19,671","31,024","6,266","3,107","4,581","291,983"
14,"90,647","71,677","62,076","19,614","30,519","6,008","3,065","4,442","288,093"
15,"90,513","70,817","61,002","19,482","29,982","6,010","3,142","4,409","285,407"
16,"90,026","70,980","61,843","19,751","30,024","6,246","3,073","4,385","286,382"
17,"92,750","73,303","63,276","20,451","30,734","6,377","3,053","4,644","294,627"
18,"97,101","78,505","63,415","21,246","31,148","6,458","2,955","5,217","306,088"
19,"101,513","83,605","63,630","22,004","32,110","6,515","2,906","6,032","318,362"
20,"103,260","86,917","64,758","22,258","31,960","6,179","3,097","6,566","325,039"
21,"104,617","90,577","66,114","22,509","32,578","6,195","3,189","6,764","332,584"
22,"108,021","95,374","68,522","23,247","33,446","6,296","3,294","6,928","345,156"
23,"115,729","102,561","71,942","23,965","34,747","6,611","3,769","7,278","366,643"
24,"118,246","103,540","72,634","23,442","34,953","6,497","3,936","7,316","370,615"
25,"118,306","101,751","72,991","23,249","36,043","6,371","4,184","6,957","369,906"
26,"119,717","101,747","72,597","22,990","36,785","6,463","4,568","6,692","371,608"
27,"121,543","103,173","72,975","23,156","38,258","6,502","4,864","7,060","377,572"
28,"123,089","104,773","73,186","23,300","39,742","6,529","5,013","7,000","382,676"
29,"120,890","102,936","70,908","23,173","39,822","6,278","4,836","7,012","375,907"
30,"119,562","103,279","70,287","23,109","40,572","6,331","5,057","6,961","375,225"
31,"118,483","101,462","69,966","23,185","41,053","6,217","4,984","6,961","372,379"
32,"118,980","102,082","70,372","23,504","41,650","6,343","4,774","7,174","374,942"
33,"117,784","100,816","70,132","23,361","40,478","6,334","4,719","7,094","370,784"
34,"117,836","99,275","69,973","23,561","40,502","6,243","4,446","7,240","369,139"
35,"117,040","97,933","70,633","23,015","39,867","6,162","4,449","6,949","366,118"
36,"113,999","94,817","67,927","22,426","38,671","6,141","4,123","6,897","355,057"
37,"110,905","91,893","66,922","22,004","37,414","6,025","4,005","6,679","345,916"
38,"106,298","87,964","64,932","21,204","36,078","5,884","3,744","6,400","332,559"
39,"103,044","84,976","63,047","20,734","35,075","5,912","3,699","6,195","322,757"
40,"101,249","82,956","62,577","20,440","34,220","5,890","3,550","5,820","316,755"
41,"100,145","81,723","63,209","20,742","33,824","5,728","3,492","5,823","314,744"
42,"100,641","82,088","64,265","20,781","34,091","5,990","3,543","5,637","317,093"
43,"100,792","82,313","64,671","21,031","34,044","6,227","3,361","5,708","318,201"
44,"103,836","84,394","67,296","21,413","34,512","6,361","3,459","5,732","327,071"
45,"105,356","84,800","69,055","22,151","35,366","6,653","3,239","5,744","332,441"
46,"108,605","87,806","70,642","23,329","36,878","7,124","3,464","5,858","343,782"
47,"108,714","89,042","71,533","23,885","37,175","7,353","3,690","5,877","347,346"
48,"100,929","83,990","67,058","23,073","35,061","7,022","3,378","5,502","326,084"
49,"99,160","82,814","65,248","22,760","34,866","7,049","3,283","5,294","320,540"
50,"96,227","80,087","63,164","22,434","33,289","6,810","3,197","4,993","310,254"
51,"93,872","76,722","62,215","21,642","32,631","6,639","3,152","4,783","301,721"
